symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,ticket_score,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
SJM,The J.M. Smucker Company,yfinance,j m smucker,1,1,2026-06-11,116.40910339355469,116.40910339355469,80852.0,0.8658869395711501,0.8658869395711501,,0.0,0.8658869395711501,0.15119758931661464,0.1668605829418428,-0.01566299362522816,0.1405462569640462,0.6087862375108806,171189051.64375305,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,SJM j m smucker stock catalyst earnings news,124,SJM j m smucker orders demand backlog guidance revenue customer contract,124,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=missing; business=missing,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-12,2026-06-16,2026-06-18,2026-06-25,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
COO,"The Cooper Companies, Inc.",yfinance,cooper companies,2,2,2026-06-11,67.19999694824219,67.19999694824219,397161.0,0.8070175438596492,0.8070175438596492,,0.0,0.8070175438596492,0.08352138749186477,0.12998142876862828,-0.04646004127676351,0.1036671027908317,0.7431908188684881,185132013.8048172,True,0.0,found_unrelated,2,6,6,I believe there are entire companies right now under AI psychosis,0.0,0.0,no company/product/ticker match in title or snippet,found_unrelated,2,12,12,My first year of marriage was awful,0.0,0.0,no company/product/ticker match in title or snippet,COO cooper companies stock catalyst earnings news,0,COO cooper companies orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=found_unrelated; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-12,2026-06-16,2026-06-18,2026-06-25,narrative=UNRELATED: I believe there are entire companies right now under AI psychosis | no company/product/ticker match in title or snippet; business=UNRELATED: My first year of marriage was awful | no company/product/ticker match in title or snippet
KIM,Kimco Realty Corporation (HC),yfinance,kimco realty corporation hc,3,3,2026-06-11,25.729999542236328,25.729999542236328,5398693.0,0.8023391812865497,0.8023391812865497,,0.0,0.8023391812865497,0.08336840177837179,0.1270223430623687,-0.04365394128399691,0.10070801708457212,0.6840924325276796,87035438.99078369,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,found_unrelated,2,7,7,My first year of marriage was awful,0.0,0.0,no company/product/ticker match in title or snippet,KIM kimco realty corporation hc stock catalyst earnings news,124,KIM kimco realty corporation hc orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=missing; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-12,2026-06-16,2026-06-18,2026-06-25,narrative=MISSING: no ranked candidates returned; business=UNRELATED: My first year of marriage was awful | no company/product/ticker match in title or snippet
