symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_score,ticket_score,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
SJM,The J.M. Smucker Company,yfinance,j m smucker,1,1,2026-06-10,114.86499786376953,114.86499786376953,186923.0,0.8234762979683973,0.8234762979683973,0.13424510389409527,0.15757981954297096,-0.02333471564887568,0.12854543094871873,0.382548679440734,171189051.64375305,True,0.0,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,my parents handed me a “contract” that they made with chatGPT and told me i have to sign it,0.0,0.0,found business context 'contract' but no company/product match,SJM j m smucker stock catalyst earnings news,0,SJM j m smucker orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=found_unrelated; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-11,2026-06-15,2026-06-17,2026-06-24,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'stock' but no company/product match; business=UNRELATED: my parents handed me a “contract” that they made with chatGPT and told me i have to sign it | found business context 'contract' but no company/product match
CPB,CPB,symbol,cpb,2,2,2026-06-10,23.1299991607666,23.1299991607666,2405484.0,0.8036117381489842,0.8036117381489842,0.10195328313404928,0.13437959063937988,-0.0324263075053306,0.10534520204512765,0.46537898148961765,161301315.87467194,True,0.0,found_unrelated,2,7,7,Show HN: A website that tracks every stock trade Congress makes,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,2,12,12,"Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM",0.0,0.0,found business context 'demand' but no company/product match,CPB cpb stock catalyst earnings news,0,CPB cpb orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=found_unrelated; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-11,2026-06-15,2026-06-17,2026-06-24,"narrative=UNRELATED: Show HN: A website that tracks every stock trade Congress makes | found narrative context 'stock' but no company/product match; business=UNRELATED: Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM | found business context 'demand' but no company/product match"
MRVL,"Marvell Technology, Inc.",fallback,marvell technology,3,3,2026-06-10,261.19000244140625,261.19000244140625,10936279.0,0.7995485327313769,0.7995485327313769,-0.13412893178762197,0.5877811698565729,-0.7219101016441949,0.5587467812623207,1.9499946213147585,7100106462.918091,True,0.0,found_unrelated,1,3,3,"Stock Market News — June 04, 2026 — Morning Update (last 12 hours, Pacific Time)",0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,Did Trump just get exposed for running the biggest insider trading operation in American history?,0.0,0.0,no company/product/ticker match in title or snippet,MRVL marvell technology stock catalyst earnings news,0,MRVL marvell technology orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=found_unrelated; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-11,2026-06-15,2026-06-17,2026-06-24,"narrative=UNRELATED: Stock Market News — June 04, 2026 — Morning Update (last 12 hours, Pacific Time) | found narrative context 'stock' but no company/product match; business=UNRELATED: Did Trump just get exposed for running the biggest insider trading operation in American history? | no company/product/ticker match in title or snippet"
KLAC,KLA Corporation,yfinance,kla,4,4,2026-06-10,213.563995,213.563995,282275.0,0.7950338600451468,0.7950338600451468,0.06496595822068496,0.25103295189418606,-0.1860669936735011,0.22199856329993384,0.3538575938665873,1763876092.96875,True,0.0,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,"This might have contributed to the selloff today. Kraft, McDonald’s, Whirlpool CEOs all issue same dire warning about US consumers.",0.0,0.0,no company/product/ticker match in title or snippet,KLAC kla stock catalyst earnings news,0,KLAC kla orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=found_unrelated; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-11,2026-06-15,2026-06-17,2026-06-24,"narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'stock' but no company/product match; business=UNRELATED: This might have contributed to the selloff today. Kraft, McDonald’s, Whirlpool CEOs all issue same dire warning about US consumers. | no company/product/ticker match in title or snippet"
HPE,Hewlett Packard Enterprise Comp,yfinance,hewlett packard enterprise comp,5,5,2026-06-10,47.084999084472656,47.084999084472656,3640277.0,0.7932279909706547,0.7932279909706547,-0.1462375742205878,0.5585898878319866,-0.7048274620525744,0.5295554992377344,0.3348005642210081,1022036402.9705048,True,0.0,found_unrelated,1,6,6,Destiny 2: Every End is a New Beginning,0.0,0.0,no company/product/ticker match in title or snippet,found_unrelated,1,1,1,Is the entire Ai Boom built on fake revenue?,0.0,0.0,found business context 'revenue' but no company/product match,HPE hewlett packard enterprise comp stock catalyst earnings news,0,HPE hewlett packard enterprise comp orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; narrative=found_unrelated; business=found_unrelated,MARKET_WATCHLIST_NEEDS_EVIDENCE,2026-06-11,2026-06-15,2026-06-17,2026-06-24,narrative=UNRELATED: Destiny 2: Every End is a New Beginning | no company/product/ticker match in title or snippet; business=UNRELATED: Is the entire Ai Boom built on fake revenue? | found business context 'revenue' but no company/product match
