date,method,selection_size,selected_symbol,selected_symbols,signal_value,selected_signal_values,selected_symbol_forward_returns,forward_return,current_close,next_close,secondary_value,secondary_values,tertiary_value,tertiary_values,symbol,symbol_forward_return,source_universe_name,source_universe_key
2025-06-09,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.0059358489277874975,211.00675377122158,212.13161390950245,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-10,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,-0.002792792234848003,212.13161390950245,211.38635791971527,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-11,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.002776731134244441,211.38635791971527,212.09882640282004,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-12,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,-0.013030671754760319,212.09882640282004,209.37958011552982,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-13,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.01099660497329668,209.37958011552982,211.01902709025816,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-16,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,-0.00977139630156914,211.01902709025816,208.789445437346,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-17,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.0009796118359991334,208.789445437346,208.5942320285604,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-18,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.0013856206066695058,208.5942320285604,209.12492544085134,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-20,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.008619397990824168,209.12492544085134,211.70803606463778,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-23,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.010384383423369408,211.70803606463778,213.57244079307824,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-24,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,-0.006889561885392612,213.57244079307824,212.0353941379354,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-25,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.007664888182177499,212.0353941379354,213.25089167806425,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-26,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.004372232958853724,213.25089167806425,214.5472037003662,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-27,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.005350834756111278,214.5472037003662,216.1009978450226,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-06-30,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.009647023497603744,216.1009978450226,217.42471564140766,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
2025-07-01,equal_weight_reference,1,EQUAL_WEIGHT_REFERENCE,,,,,0.003281309596969934,217.42471564140766,217.73070624088035,,,,,EQUAL_WEIGHT_REFERENCE,,nasdaq100_sp500_union,union
