symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
INTC,英特尔,eastmoney_us,英特尔,1,2,2026-06-15,127.66999816894531,127.66999816894531,97500496.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,127.78,0.0008616106574164117,False,ok,127.78,124.57,0.025768644135827357,5.77,-3.3,90.77,0.8268482490272373,0.8268482490272373,,0.0,0.0,0.8768482490272373,True,False,False,True,0.157794523039672,0.17376116676642095,-0.01596664372674894,0.11989304753606535,0.18819460203373395,13902440435.61554,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,INTC 英特尔 stock catalyst earnings news,0,INTC 英特尔 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0008616106574164117; narrative=missing; business=missing; quality=STRONG; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,125.1165982055664,132.77679809570313,2.0,0.1,0.125,0.0,1.0,2026-06-16,2026-06-18,2026-06-22,2026-06-29,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
SJM,The J. M. Smucker Company,fallback,j m smucker,2,1,2026-06-15,115.69999694824219,115.69999694824219,490521.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.8396887159533073,0.8396887159533073,,0.0,0.0,0.8396887159533073,True,False,False,True,0.13687727979427855,0.15078571607983293,-0.013908436285554382,0.09691759684947733,0.5877751943272158,167597277.80723572,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,SJM j m smucker stock catalyst earnings news,0,SJM j m smucker orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=missing; business=missing; quality=POOR; risk=CLEAN; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,113.38599700927735,120.32799682617187,2.0,0.1,0.125,0.0,1.0,2026-06-16,2026-06-18,2026-06-22,2026-06-29,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
HOOD,Robinhood Markets Inc-A,eastmoney_us,robinhood markets inc a,3,5,2026-06-15,98.75,98.75,30076214.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,98.77,0.00020253164556960357,False,ok,98.77,93.19,0.05987766927781957,9.54,3.79,55.56,0.7844357976653696,0.7844357976653696,,0.0,0.0,0.8344357976653697,True,False,False,True,0.16121823773368948,0.2801400153141751,-0.11892177758048561,0.22627189608381948,0.30964373255700584,2401626721.562195,True,0.0,found_unrelated,1,2,2,How a TCP Load Balancer works under the hood,0.0,0.0,matched ticker boundary 'HOOD' but no narrative context term,found_unrelated,1,2,2,How a TCP Load Balancer works under the hood,0.0,0.0,matched ticker boundary 'HOOD' but no business context term,HOOD robinhood markets inc a stock catalyst earnings news,0,HOOD robinhood markets inc a orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.00020253164556960357; narrative=found_unrelated; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,96.77499999999999,102.70000000000002,2.0,0.1,0.125,0.0,1.0,2026-06-16,2026-06-18,2026-06-22,2026-06-29,narrative=UNRELATED: How a TCP Load Balancer works under the hood | matched ticker boundary 'HOOD' but no narrative context term; business=UNRELATED: How a TCP Load Balancer works under the hood | matched ticker boundary 'HOOD' but no business context term
CAH,CAH,symbol,cah,4,3,2026-06-15,225.8000030517578,225.8000030517578,1373140.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7992217898832684,0.7992217898832684,,0.0,0.0,0.7992217898832684,True,False,False,True,0.10426451374063395,0.15676232880080065,-0.05249781506016671,0.10289420957044505,0.5039288845114116,390158734.6343994,True,0.0,found_unrelated,1,6,6,Show HN: A website that tracks every stock trade Congress makes,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,"Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM",0.0,0.0,found business context 'demand' but no company/product match,CAH cah stock catalyst earnings news,0,CAH cah orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=found_unrelated; quality=POOR; risk=WATCH; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,221.28400299072266,234.83200317382813,2.0,0.1,0.125,0.0,1.0,2026-06-16,2026-06-18,2026-06-22,2026-06-29,"narrative=UNRELATED: Show HN: A website that tracks every stock trade Congress makes | found narrative context 'stock' but no company/product match; business=UNRELATED: Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM | found business context 'demand' but no company/product match"
SW,SW,symbol,sw,5,4,2026-06-15,45.1150016784668,45.1150016784668,4828384.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7859922178988328,0.7859922178988328,,0.0,0.0,0.7859922178988328,True,False,False,True,0.11395065872757515,0.2037087040950083,-0.08975804536743315,0.14984058486465268,0.4943713964692098,199462936.09313965,True,0.0,found_unrelated,2,7,7,Show HN: A website that tracks every stock trade Congress makes,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,"Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM",0.0,0.0,found business context 'demand' but no company/product match,SW sw stock catalyst earnings news,0,SW sw orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=found_unrelated; quality=POOR; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,44.21270164489746,46.919601745605476,2.0,0.1,0.125,0.0,1.0,2026-06-16,2026-06-18,2026-06-22,2026-06-29,"narrative=UNRELATED: Show HN: A website that tracks every stock trade Congress makes | found narrative context 'stock' but no company/product match; business=UNRELATED: Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM | found business context 'demand' but no company/product match"
