symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
TSLA,特斯拉,eastmoney_us,特斯拉,1,1,2026-06-17,403.7799987792969,403.7799987792969,21903840.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,403.84,0.00014859879361162065,False,ok,403.84,404.66,-0.002026392527059828,18.03,0.57,28.28,0.9142857142857141,0.8442857142857141,,0.0,0.0,0.8942857142857141,True,False,False,True,0.05815142601840484,-0.0008165761407220584,0.0589680021591269,0.04490663724896423,-0.0702959183165085,18877307048.776245,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,TSLA 特斯拉 stock catalyst earnings news,0,TSLA 特斯拉 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.00014859879361162065; narrative=missing; business=missing; quality=STRONG; risk=CLEAN; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,394.38193855170897,431.97417946206053,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
AAPL,苹果,eastmoney_us,苹果,2,2,2026-06-17,297.37750244140625,297.37750244140625,15506474.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,297.415,0.0001260941338396826,False,ok,297.415,299.24,-0.006098783585082201,41.02,79.54,88.27,0.6142857142857143,0.5442857142857143,,0.0,0.0,0.5942857142857143,True,False,False,True,0.01988310630401835,-0.00532661729536299,0.02520972359938134,0.0403965960943233,-0.25165226802923524,14418665752.049255,True,0.0,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'shares' but no company/product match,missing,0,0,0,,,0.0,no ranked candidates returned,AAPL 苹果 stock catalyst earnings news,0,AAPL 苹果 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0001260941338396826; narrative=found_unrelated; business=missing; quality=STRONG; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,290.45598159658203,318.14206497587895,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'shares' but no company/product match; business=MISSING: no ranked candidates returned
GOOGL,谷歌-A,eastmoney_us,a,3,3,2026-06-17,364.9555969238281,364.9555969238281,10525878.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,364.96,1.2064690085411556e-05,False,ok,364.96,373.25,-0.022210314802411313,9.27,14.0,4.35,0.5571428571428572,0.48714285714285716,,0.0,0.0,0.5371428571428571,True,False,False,True,0.024063056073629907,-0.05800550756739131,0.08206856364102122,-0.012282294177705023,-0.16562893560224767,10774432430.957031,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,GOOGL a stock catalyst earnings news,0,GOOGL a orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=1.2064690085411556e-05; narrative=missing; business=missing; quality=STRONG; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,356.4611824143067,390.43884045239247,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
MSFT,微软,eastmoney_us,微软,4,4,2026-06-17,383.8399963378906,383.8399963378906,17489702.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,383.84,9.540718437506257e-09,False,ok,383.84,393.83,-0.025366274788614418,6.88,25.86,-61.54,0.5285714285714286,0.4585714285714286,,0.0,0.0,0.5085714285714286,True,False,False,True,-0.034024535715920456,-0.07845494340825898,0.044430407692338525,-0.03273173001857269,-0.02827548164420224,13184039672.343445,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,MSFT 微软 stock catalyst earnings news,0,MSFT 微软 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=9.540718437506257e-09; narrative=missing; business=missing; quality=STRONG; risk=CLEAN; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,374.90604365512695,410.64185438618165,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
META,Meta Platforms Inc-A,eastmoney_us,meta platforms inc a,5,5,2026-06-17,577.75,577.75,8376150.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,577.75,0.0,False,ok,577.75,600.21,-0.03742023625064561,6.02,11.62,-56.25,0.5142857142857143,0.44428571428571434,,0.0,0.0,0.49428571428571433,True,False,False,True,0.012794617405823994,-0.04036528717500576,0.05315990458082975,0.005357926214680529,-0.21451527707883866,10248582025.048828,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,META meta platforms inc a stock catalyst earnings news,0,META meta platforms inc a orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=missing; business=missing; quality=STRONG; risk=CLEAN; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,564.3027532,618.0917403999999,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
