symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,lifecycle_stage,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,closing_strength_5d,volume_weighted_momentum,risk_penalty,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
MRNA,Moderna Inc,eastmoney_us,moderna,1,1,2026-06-22,59.345,59.345,8363486.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,59.345,0.0,False,ok,61.555,59.345,0.03723986856516981,3.3,-16.73,3.15,0.9555053191489361,0.9552576435553416,,0.0,0.2375,1.2427576435553416,paper_review_candidate,True,False,False,True,0.18904027249048294,0.2557130765975455,-0.06667280410706256,8.287872421230968e-05,1.6932672054489761,286587358.99,0.6390387983896992,0.4587835076394849,0.0,True,0.95,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'shares' but no company/product match,found_relevant,1,0,10,Moderna just got a signal investors can’t ignore,0.0,0.95,matched company term 'moderna' with business context 'demand',MRNA moderna stock catalyst earnings news,0,MRNA moderna orders demand backlog guidance revenue customer contract,0,Moderna just got a signal investors can’t ignore,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_unrelated; business=found_relevant; quality=STRONG; risk=WATCH; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,57.963733256,63.488800231999996,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'shares' but no company/product match; business=Moderna just got a signal investors can’t ignore | matched company term 'moderna' with business context 'demand'
GE,GE航空航天,eastmoney_us,ge,2,2,2026-06-22,355.12,355.12,5426662.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,355.12,0.0,False,ok,355.1,355.12,-5.6318990763637444e-05,20.52,10.37,77.78,0.3810279755007452,0.5254958815899389,,0.0,0.525,1.100495881589939,paper_review_candidate,True,False,False,True,0.059111243662391955,0.17682926829268308,-0.11771802463029113,-0.0788009295806501,0.3271229120157162,1526535902.34,0.32807946154237755,0.20533124001121714,0.0,True,0.95,found_relevant,1,0,10,General Electric (GE) Stock After 333% Three-Year Surge Is It Too Late To Buy?,0.0,0.95,matched company term 'GE航空航天' with narrative context 'stock',found_relevant,1,0,10,"GE HealthCare Technologies Set for Further Growth on Strong Backlog, Execution, RBC Says",0.0,0.95,matched company term 'GE航空航天' with business context 'backlog',GE ge stock catalyst earnings news,0,GE ge orders demand backlog guidance revenue customer contract,0,"General Electric (GE) Stock After 333% Three-Year Surge Is It Too Late To Buy?; GE HealthCare Technologies Set for Further Growth on Strong Backlog, Execution, RBC Says",Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=WATCH; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,346.85451097600003,379.916467072,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,"narrative=General Electric (GE) Stock After 333% Three-Year Surge Is It Too Late To Buy? | matched company term 'GE航空航天' with narrative context 'stock'; business=GE HealthCare Technologies Set for Further Growth on Strong Backlog, Execution, RBC Says | matched company term 'GE航空航天' with business context 'backlog'"
TER,泰瑞达,eastmoney_us,泰瑞达,3,4,2026-06-22,457.0,457.0,4338516.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,457.0,0.0,False,ok,426.01,457.0,-0.06781181619256016,21.21,13.43,-11.11,0.7733481152993349,0.45541420097098595,,0.0,0.1875,0.692914200970986,market_watchlist,True,False,False,True,0.13343253968253976,0.29300588501584435,-0.15957334533330458,0.03737568714251116,0.9933267896002531,1493694141.635,0.48998234847077526,0.45027025829646344,0.35,True,0.75,found_relevant,1,0,10,Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points.,0.0,0.75,matched ticker boundary 'TER' with narrative context 'stocks',found_unrelated,1,0,10,"Nasdaq Tumbles as Micron, Chip Giants Lead Brutal Tech Rout",0.0,0.0,no company/product/ticker match in title or snippet,TER 泰瑞达 stock catalyst earnings news,0,TER 泰瑞达 orders demand backlog guidance revenue customer contract,0,Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,MOMENTUM_EXHAUSTION_HARD_BLOCK,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,446.3632336,488.91029919999994,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,"narrative=Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points. | matched ticker boundary 'TER' with narrative context 'stocks'; business=UNRELATED: Nasdaq Tumbles as Micron, Chip Giants Lead Brutal Tech Rout | no company/product/ticker match in title or snippet"
STX,希捷科技,eastmoney_us,希捷科技,4,3,2026-06-22,1094.04,1094.04,6875925.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,1094.04,0.0,False,ok,1035.46,1094.04,-0.05354466015867787,212.04,588.79,-94.48,1.0720397111913356,0.4826832975337564,,0.0,0.1875,0.6901832975337564,market_watchlist,True,False,False,True,0.17507303660422746,0.3499000567578905,-0.17482702015366303,0.0942698588845573,1.264873755801918,2940904896.08,0.38945666948432767,0.5592894722350429,0.5,True,0.75,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'shares' but no company/product match,found_relevant,1,0,10,The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks,0.0,0.75,matched ticker boundary 'STX' with business context 'quarter',STX 希捷科技 stock catalyst earnings news,0,STX 希捷科技 orders demand backlog guidance revenue customer contract,0,The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,MOMENTUM_EXHAUSTION_HARD_BLOCK,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_unrelated; business=found_relevant; quality=MODERATE; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,1068.576000192,1170.431999424,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'shares' but no company/product match; business=The Billionaire Who Called the 2008 Bubble Just Dumped Google to Buy These 5 AI Hardware Stocks | matched ticker boundary 'STX' with business context 'quarter'
SW,Smurfit WestRock plc,eastmoney_us,smurfit westrock,5,5,2026-06-22,45.39,45.39,6315710.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,45.39,0.0,False,ok,44.575,45.39,-0.01795549680546371,1.29,0.36,86.67,0.4385152838427954,0.30303195366457797,,0.0,0.2375,0.590531953664578,market_watchlist,True,False,False,True,0.04778393351800547,0.20270270270270263,-0.15491876918469716,-0.052927495170630556,0.26918556693789,229311536.44,0.32792943118351087,0.2317070871891023,0.2,True,0.95,found_relevant,1,0,10,Smurfit Westrock Announces the Completion of Delisting from the LSE,0.0,0.95,matched company term 'smurfit westrock' with narrative context 'shares',found_unrelated,1,0,10,Smurfit Westrock Announces the Completion of Delisting from the LSE,0.0,0.0,matched company term 'smurfit westrock' but no business context term,SW smurfit westrock stock catalyst earnings news,0,SW smurfit westrock orders demand backlog guidance revenue customer contract,0,Smurfit Westrock Announces the Completion of Delisting from the LSE,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,MOMENTUM_EXHAUSTION_HARD_BLOCK,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,44.333538672,48.559383984,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=Smurfit Westrock Announces the Completion of Delisting from the LSE | matched company term 'smurfit westrock' with narrative context 'shares'; business=UNRELATED: Smurfit Westrock Announces the Completion of Delisting from the LSE | matched company term 'smurfit westrock' but no business context term
