symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,lifecycle_stage,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,closing_strength_5d,volume_weighted_momentum,risk_penalty,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
MRNA,Moderna Inc,eastmoney_us,moderna,1,1,2026-06-22,59.345,59.345,8363486.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,59.345,0.0,False,ok,61.845,59.345,0.04212654815064454,3.31,-16.73,-33.11,0.913218085106383,0.901218636463143,,0.0,0.0,0.9212186364631431,market_watchlist,True,False,False,True,0.18904027249048294,0.2557130765975455,-0.06667280410706256,8.287872421230968e-05,1.6932672054489761,286587358.99,0.6390387983896992,0.4587835076394849,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,MRNA moderna stock catalyst earnings news,0,MRNA moderna orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=missing; business=missing; quality=MODERATE; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,57.963733256,63.488800231999996,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
GE,GE航空航天,eastmoney_us,ge,2,2,2026-06-22,355.12,355.12,5426662.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,355.12,0.0,False,ok,356.345,355.12,0.0034495381842758466,20.59,10.37,-37.01,0.3564848535010762,0.5127700083901375,,0.0,0.0,0.5327700083901376,market_watchlist,True,False,False,True,0.059111243662391955,0.17682926829268308,-0.11771802463029113,-0.0788009295806501,0.3271229120157162,1526535902.34,0.32807946154237755,0.20533124001121714,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,GE ge stock catalyst earnings news,0,GE ge orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=missing; business=missing; quality=MODERATE; risk=WATCH; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,346.85451097600003,379.916467072,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
STX,希捷科技,eastmoney_us,希捷科技,3,3,2026-06-22,1094.04,1094.04,6875925.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,1094.04,0.0,False,ok,1026.0,1094.04,-0.06219151036525172,210.1,588.79,65.22,1.0479508034120213,0.2968966195328346,momentum_exhaustion_guard,-0.08,0.0,0.34689661953283457,market_watchlist,True,False,False,True,0.17507303660422746,0.3499000567578905,-0.17482702015366303,0.0942698588845573,1.264873755801918,2940904896.08,0.38945666948432767,0.5592894722350429,0.55,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,STX 希捷科技 stock catalyst earnings news,0,STX 希捷科技 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=missing; business=missing; quality=STRONG; risk=ELEVATED; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,1068.576000192,1170.431999424,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
TER,泰瑞达,eastmoney_us,泰瑞达,4,4,2026-06-22,457.0,457.0,4338516.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,457.0,0.0,False,ok,422.43,457.0,-0.07564551422319477,21.03,13.43,93.87,0.7235809312638583,0.25422055721636666,momentum_exhaustion_guard,-0.08,0.0,0.30422055721636665,market_watchlist,True,False,False,True,0.13343253968253976,0.29300588501584435,-0.15957334533330458,0.03737568714251116,0.9933267896002531,1493694141.635,0.48998234847077526,0.45027025829646344,0.4,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,TER 泰瑞达 stock catalyst earnings news,0,TER 泰瑞达 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=missing; business=missing; quality=STRONG; risk=ELEVATED; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,446.3632336,488.91029919999994,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
SW,Smurfit WestRock plc,eastmoney_us,smurfit westrock,5,5,2026-06-22,45.39,45.39,6315710.0,EastMoney US historical kline (via akshare) + EastMoney US realtime quote,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,ok,prev_close,45.39,0.0,False,ok,44.66,45.39,-0.016082837629433855,1.3,0.36,-37.35,0.41369863013698555,0.12680862810775864,momentum_exhaustion_guard,-0.08,0.0,0.17680862810775866,market_watchlist,True,False,False,True,0.04778393351800547,0.20270270270270263,-0.15491876918469716,-0.052927495170630556,0.26918556693789,229311536.44,0.32792943118351087,0.2317070871891023,0.25,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,SW smurfit westrock stock catalyst earnings news,0,SW smurfit westrock orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=missing; business=missing; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,44.333538672,48.559383984,2.0,0.08,0.17350410039761435,0.0,1.0,2026-06-23,2026-06-25,2026-06-29,2026-07-06,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
