symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,due_close,due_adj_close,forward_return,completed_at
AAPL,1,1,2026-06-12,1,2026-06-15,1d,completed,2026-06-14-yahoo-eastmoney-smoke:AAPL:1d,291.1300048828125,291.1300048828125,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.6771931510284332e-08,False,0.8666666666666667,0.0,0.9166666666666669,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,295.055,295.055,0.0134819326464389,2026-06-16 02:26:55 CST
AAPL,1,1,2026-06-12,3,2026-06-17,3d,completed,2026-06-14-yahoo-eastmoney-smoke:AAPL:3d,291.1300048828125,291.1300048828125,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.6771931510284332e-08,False,0.8666666666666667,0.0,0.9166666666666669,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,299.510009765625,299.510009765625,0.0287844081415987,2026-06-17 02:51:16 CST
AAPL,1,1,2026-06-12,5,2026-06-19,5d,completed,2026-06-14-yahoo-eastmoney-smoke:AAPL:5d,291.1300048828125,291.1300048828125,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.6771931510284332e-08,False,0.8666666666666667,0.0,0.9166666666666669,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,298.010009765625,298.010009765625,0.02363207078425971,2026-06-21 20:41:18 CST
AAPL,1,1,2026-06-12,10,2026-06-26,10d,pending,2026-06-14-yahoo-eastmoney-smoke:AAPL:10d,291.1300048828125,291.1300048828125,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.6771931510284332e-08,False,0.8666666666666667,0.0,0.9166666666666669,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
