symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
ASML,阿斯麦,eastmoney_us,阿斯麦,1,1,2026-06-15,1892.6600341796875,1892.6600341796875,2335700.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,1892.66,1.8059073902954026e-08,False,ok,1892.66,1863.55,0.01562072388720459,30.39,13.63,-55.56,0.7817391304347826,0.7817391304347826,,0.0,0.1875,0.9892391304347826,True,False,False,True,0.08211361198693257,0.26025260208465895,-0.17813899009772638,0.2007584823323771,0.832415034445328,2712878132.104492,True,0.75,found_relevant,2,2,2,ASML Becomes Europe's Most Valuable Stock Ever on AI Boom,0.0,0.75,matched ticker boundary 'ASML' with narrative context 'stock',found_unrelated,1,6,6,Nikon weaponizes lower prices to break ASML's lithography monopoly,0.0,0.0,matched ticker boundary 'ASML' but no business context term,ASML 阿斯麦 stock catalyst earnings news,0,ASML 阿斯麦 orders demand backlog guidance revenue customer contract,0,ASML Becomes Europe's Most Valuable Stock Ever on AI Boom,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=1.8059073902954026e-08; narrative=found_relevant; business=found_unrelated; quality=MODERATE; risk=ELEVATED; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,1702.2001408121582,2146.606558669727,2.0,0.0,0.0,0.4,0.6,2026-06-16,2026-06-18,2026-06-22,2026-06-29,narrative=ASML Becomes Europe's Most Valuable Stock Ever on AI Boom | matched ticker boundary 'ASML' with narrative context 'stock'; business=UNRELATED: Nikon weaponizes lower prices to break ASML's lithography monopoly | matched ticker boundary 'ASML' but no business context term
HOOD,Robinhood Markets Inc-A,eastmoney_us,robinhood markets inc a,2,4,2026-06-15,98.12000274658203,98.12000274658203,36466400.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,98.12,2.7992070439353256e-08,False,ok,98.12,93.19,0.052902671960510794,9.48,3.79,33.33,0.7630434782608696,0.7630434782608696,,0.0,0.0,0.8130434782608696,True,False,False,True,0.15380999165377984,0.2719730817077106,-0.11816309005393077,0.21247896195542876,0.36028083866502203,2401626721.562195,True,0.0,found_unrelated,1,2,2,How a TCP Load Balancer works under the hood,0.0,0.0,matched ticker boundary 'HOOD' but no narrative context term,found_unrelated,1,2,2,How a TCP Load Balancer works under the hood,0.0,0.0,matched ticker boundary 'HOOD' but no business context term,HOOD robinhood markets inc a stock catalyst earnings news,0,HOOD robinhood markets inc a orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=2.7992070439353256e-08; narrative=found_unrelated; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,88.2461083741913,111.28519524310302,2.0,0.0,0.0,0.4,0.6,2026-06-16,2026-06-18,2026-06-22,2026-06-29,narrative=UNRELATED: How a TCP Load Balancer works under the hood | matched ticker boundary 'HOOD' but no narrative context term; business=UNRELATED: How a TCP Load Balancer works under the hood | matched ticker boundary 'HOOD' but no business context term
POOL,Pool Corp,eastmoney_us,pool,3,5,2026-06-15,191.02999877929688,191.02999877929688,993300.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,191.03,6.390112217147248e-09,False,ok,191.03,195.0,-0.02035897435897438,6.14,4.59,-33.33,0.758695652173913,0.758695652173913,,0.0,0.0,0.808695652173913,True,False,False,True,0.055706007190140516,0.0894211128029545,-0.03371510561281399,0.029926993050672653,0.372661536331788,145382112.07122803,True,0.0,found_unrelated,2,7,7,"Show HN: FablePool – pool money behind a prompt, and Fable builds it in public",0.0,0.0,matched company term 'pool' but no narrative context term,found_unrelated,1,6,6,"Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM",0.0,0.0,found business context 'demand' but no company/product match,POOL pool stock catalyst earnings news,0,POOL pool orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=6.390112217147248e-09; narrative=found_unrelated; business=found_unrelated; quality=STRONG; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,171.8064971781372,216.66133424750979,2.0,0.0,0.0,0.4,0.6,2026-06-16,2026-06-18,2026-06-22,2026-06-29,"narrative=UNRELATED: Show HN: FablePool – pool money behind a prompt, and Fable builds it in public | matched company term 'pool' but no narrative context term; business=UNRELATED: Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM | found business context 'demand' but no company/product match"
FCX,FCX,symbol,fcx,4,2,2026-06-15,70.12999725341797,70.12999725341797,16631400.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7730434782608697,0.7730434782608697,,0.0,0.0,0.7730434782608697,True,False,False,True,0.09732432202873365,0.11299792289395372,-0.015673600865220072,0.053503803141671864,0.21819968743806273,811532250.2510071,True,0.0,found_unrelated,1,6,6,Show HN: A website that tracks every stock trade Congress makes,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,"Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM",0.0,0.0,found business context 'demand' but no company/product match,FCX fcx stock catalyst earnings news,0,FCX fcx orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=found_unrelated; quality=POOR; risk=WATCH; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,63.07275952580872,79.53964755689697,2.0,0.0,0.0,0.4,0.6,2026-06-16,2026-06-18,2026-06-22,2026-06-29,"narrative=UNRELATED: Show HN: A website that tracks every stock trade Congress makes | found narrative context 'stock' but no company/product match; business=UNRELATED: Citing 'severe' math deficits, UC faculty demand a return to SAT tests for STEM | found business context 'demand' but no company/product match"
ARE,ARE,symbol,are,5,3,2026-06-15,52.380001068115234,52.380001068115234,1301700.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7634782608695653,0.7634782608695653,,0.0,0.0,0.7634782608695653,True,False,False,True,0.04218071662118916,0.16477650981251735,-0.12259579319132818,0.10528239006023549,0.473584993071702,76704494.48547363,True,0.0,found_unrelated,1,6,6,Show HN: A website that tracks every stock trade Congress makes,0.0,0.0,found narrative context 'stock' but no company/product match,found_unrelated,1,6,6,EV demand up 50% in France and Germany since Iran war,0.0,0.0,found business context 'demand' but no company/product match,ARE are stock catalyst earnings news,0,ARE are orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=found_unrelated; quality=POOR; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,47.10895965662994,59.40805628342896,2.0,0.0,0.0,0.4,0.6,2026-06-16,2026-06-18,2026-06-22,2026-06-29,narrative=UNRELATED: Show HN: A website that tracks every stock trade Congress makes | found narrative context 'stock' but no company/product match; business=UNRELATED: EV demand up 50% in France and Germany since Iran war | found business context 'demand' but no company/product match
