date,daily_return,equity,drawdown
2026-05-26,0.001969657179,1.001969657,0
2026-05-27,0.01199633053,1.013989616,0
2026-05-28,0.02200403407,1.036301478,0
2026-05-29,-0.03785790032,0.9970692804,-0.03785790032
2026-06-01,-0.02832580183,0.9688264935,-0.06511134677
2026-06-02,-0.06023139746,0.9104727199,-0.1214209968
2026-06-03,-0.1260395336,0.7957171629,-0.2321566846
2026-06-04,-0.06634212612,0.7429275946,-0.2830970427
2026-06-05,0.08644400786,0.8071492334,-0.2211250778
2026-06-08,0.01430400065,0.8186946965,-0.2099840504
2026-06-09,-0.004406963002,0.8150867393,-0.2134656215
2026-06-10,0.09531257217,0.892774753,-0.1384990068
2026-06-11,-0.01891570325,0.8758872907,-0.1547949039
2026-06-12,0.01562072389,0.8895692842,-0.1415921885
2026-06-15,-0.0469022434,0.8478464891,-0.1818534406
2026-06-16,0.08778823286,0.9222774341,-0.1100297999
2026-06-17,0.003904987554,0.925878916,-0.1065544774
2026-06-18,0.02226294776,0.94649171,-0.08666374636
2026-06-22,-0.02947709883,0.9185918803,-0.1135862494
2026-06-23,0.0005537570285,0.919100557,-0.1130953915
2026-06-24,0.03512282345,0.9513819636,-0.08194479755
2026-06-25,0.04199226783,0.9913326498,-0.04339357761
2026-06-26,0.003789224393,0.9950890317,-0.03976878122
2026-06-29,-0.01049899729,0.9846415946,-0.04985024618
2026-06-30,-0.002304879987,0.9823721139,-0.05204022733
2026-07-01,0.03987094718,1.021540221,-0.01424417331
2026-07-02,-0.0241697629,0.9968498357,-0.03806965791
2026-07-06,-0.05730987609,0.9397204951,-0.09319776663
2026-07-07,-0.01798376323,0.9228207842,-0.1095054833
2026-07-08,0.03809125157,0.9579721829,-0.07558543263
2026-07-09,0.05974852727,1.01520961,-0.02035302365
2026-07-10,-0.01864885462,0.9962771135,-0.03862231769
2026-07-13,0.006562818814,1.0028155,-0.03231297015
2026-07-14,0.03066380249,1.033565636,-0.002640006189
2026-07-15,-0.01455723751,1.018519776,-0.0171588125
2026-07-16,-0.002996650802,1.015467628,-0.02010404433
2026-07-17,-0.02260193027,0.9925160991,-0.0422515844
2026-07-20,-0.01707145371,0.9755724064,-0.05860174215
2026-07-21,-0.006087735004,0.9696333801,-0.06433272527
2026-07-22,0.009217141489,0.9785706282,-0.05570854762
2026-07-23,-0.007828168467,0.9709102124,-0.06310062019
2026-07-24,0.03116849244,1.00117202,-0.03389887895
2026-07-27,0.01953964841,1.020734569,-0.01502160272
2026-07-28,-0.01711840228,1.003261224,-0.03188285916
2026-07-29,-0.0407155749,0.9624128668,-0.07130030512
2026-07-30,0.01012531183,0.9721575972,-0.06189693112
